"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,"23",5020463,96951,2004
17,"236",1868887,25572,2004
17,"2361",1708839,22752,2004
17,"237",137824,1222,2004
17,"2372",71492,375,2004
17,"23721",71492,375,2004
17,"2373",4117,89,2004
17,"23731",4117,89,2004
17,"2379",22994,294,2004
17,"23799",22994,294,2004
17,"238",2746549,64841,2004
17,"2381",482505,10300,2004
17,"2382",429541,9846,2004
17,"23821",160414,3993,2004
17,"23822",200613,4014,2004
17,"23829",13532,298,2004
17,"2383",1076148,27985,2004
17,"2389",756419,16569,2004
17,"484",1472722,18906,2004
17,"4841",1672228,21229,2004
17,"48411",548274,7839,2004
17,"4842",97526,1393,2004
17,"4853",294644,11060,2004
17,"2371",1572,48,2004
30,"23",686265,13083,2004
30,"236",238654,3045,2004
30,"2361",186757,2337,2004
30,"237",34247,284,2004
30,"2379",7365,73,2004
30,"23799",7365,73,2004
30,"238",320038,7990,2004
30,"2381",56477,1196,2004
30,"2382",30301,634,2004
30,"23821",4811,102,2004
30,"23822",9224,156,2004
30,"23829",532,10,2004
30,"2383",112009,3126,2004
30,"2389",119356,2954,2004
30,"484",113216,1273,2004
30,"4841",87762,931,2004
30,"48411",15451,251,2004
30,"4842",7087,93,2004
30,"2373",0,0,2004
30,"23731",0,0,2004
30,"2371",0,0,2004
30,"2372",11563,42,2004
30,"23721",11563,42,2004
30,"4853",0,0,2004
39,"23",4651898,94140,2004
39,"236",1409531,18518,2004
39,"2361",1003002,11738,2004
39,"237",237568,1989,2004
39,"2371",1883,36,2004
39,"2372",135039,602,2004
39,"23721",135039,602,2004
39,"2373",320,22,2004
39,"23731",320,22,2004
39,"2379",27407,417,2004
39,"23799",27407,417,2004
39,"238",2898591,71475,2004
39,"2381",622438,14113,2004
39,"2382",383861,9328,2004
39,"23821",70795,2060,2004
39,"23822",215339,4464,2004
39,"2383",1040308,28053,2004
39,"2389",849574,19891,2004
39,"484",1410640,18620,2004
39,"4841",1447360,19030,2004
39,"48411",427884,6928,2004
39,"4842",161688,2191,2004
39,"4853",18511,884,2004
39,"23829",10753,228,2004
42,"23",5335139,94991,2004
42,"236",1573732,19165,2004
42,"2361",1283891,14422,2004
42,"237",190417,1691,2004
42,"2371",0,0,2004
42,"2372",106030,496,2004
42,"23721",106030,496,2004
42,"2373",2501,36,2004
42,"23731",2501,36,2004
42,"2379",27652,376,2004
42,"23799",27652,376,2004
42,"238",3432704,72309,2004
42,"2381",587170,11257,2004
42,"2382",556307,11473,2004
42,"23821",158757,3809,2004
42,"23822",302411,5180,2004
42,"23829",18797,343,2004
42,"2383",1213471,27920,2004
42,"2389",1074952,21638,2004
42,"484",1357521,15731,2004
42,"4841",1341704,15348,2004
