"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,1,"23",5020463,96951,2004
17,1,"236",1868887,25572,2004
17,1,"2361",1708839,22752,2004
17,1,"237",137824,1222,2004
17,1,"2372",71492,375,2004
17,1,"23721",71492,375,2004
17,1,"2373",4117,89,2004
17,1,"23731",4117,89,2004
17,1,"2379",22994,294,2004
17,1,"23799",22994,294,2004
17,1,"238",2746549,64841,2004
17,1,"2381",482505,10300,2004
17,1,"2382",429541,9846,2004
17,1,"23821",160414,3993,2004
17,1,"23822",200613,4014,2004
17,1,"23829",13532,298,2004
17,1,"2383",1076148,27985,2004
17,1,"2389",756419,16569,2004
17,1,"484",1472722,18906,2004
17,1,"4841",1672228,21229,2004
17,1,"48411",548274,7839,2004
17,1,"4842",97526,1393,2004
17,1,"4853",294644,11060,2004
17,3,"23",5020463,96951,2004
17,3,"236",1868887,25572,2004
17,3,"2361",1708839,22752,2004
17,3,"237",137824,1222,2004
17,3,"2373",4117,89,2004
17,3,"23731",4117,89,2004
17,3,"238",2746549,64841,2004
17,3,"2381",482505,10300,2004
17,3,"2382",429541,9846,2004
17,3,"23821",160414,3993,2004
17,3,"23822",200613,4014,2004
17,3,"23829",13532,298,2004
17,3,"2383",1076148,27985,2004
17,3,"2389",756419,16569,2004
17,3,"484",1472722,18906,2004
17,3,"4841",1672228,21229,2004
17,3,"48411",548274,7839,2004
17,3,"4842",97526,1393,2004
17,5,"23",5020463,96951,2004
17,5,"236",1868887,25572,2004
17,5,"2361",1708839,22752,2004
17,5,"237",137824,1222,2004
17,5,"2372",71492,375,2004
17,5,"23721",71492,375,2004
17,5,"2379",22994,294,2004
17,5,"23799",22994,294,2004
17,5,"238",2746549,64841,2004
17,5,"2381",482505,10300,2004
17,5,"2382",429541,9846,2004
17,5,"23821",160414,3993,2004
17,5,"23822",200613,4014,2004
17,5,"23829",13532,298,2004
17,5,"2383",1076148,27985,2004
17,5,"2389",756419,16569,2004
17,5,"484",1472722,18906,2004
17,5,"4841",1672228,21229,2004
17,5,"48411",548274,7839,2004
17,5,"4842",97526,1393,2004
17,7,"23",5020463,96951,2004
17,7,"236",1868887,25572,2004
17,7,"2361",1708839,22752,2004
17,7,"237",137824,1222,2004
17,7,"2372",71492,375,2004
17,7,"23721",71492,375,2004
17,7,"2373",4117,89,2004
17,7,"23731",4117,89,2004
17,7,"238",2746549,64841,2004
17,7,"2381",482505,10300,2004
17,7,"2382",429541,9846,2004
17,7,"23821",160414,3993,2004
17,7,"23822",200613,4014,2004
17,7,"23829",13532,298,2004
17,7,"2383",1076148,27985,2004
17,7,"2389",756419,16569,2004
17,7,"484",1472722,18906,2004
17,7,"4841",1672228,21229,2004
17,7,"48411",548274,7839,2004
17,7,"4842",97526,1393,2004
17,7,"4853",294644,11060,2004
17,9,"23",5020463,96951,2004
17,9,"236",1868887,25572,2004
17,9,"2361",1708839,22752,2004
17,9,"237",137824,1222,2004
17,9,"2373",4117,89,2004
17,9,"23731",4117,89,2004
17,9,"2379",22994,294,2004
17,9,"23799",22994,294,2004
17,9,"238",2746549,64841,2004
17,9,"2381",482505,10300,2004
17,9,"2382",429541,9846,2004
17,9,"23821",160414,3993,2004
17,9,"23822",200613,4014,2004
17,9,"2383",1076148,27985,2004
17,9,"2389",756419,16569,2004
17,9,"484",1472722,18906,2004
17,9,"4841",1672228,21229,2004
17,9,"48411",548274,7839,2004
17,9,"4842",97526,1393,2004
17,11,"23",5020463,96951,2004
17,11,"236",1868887,25572,2004
17,11,"2361",1708839,22752,2004
17,11,"237",137824,1222,2004
17,11,"2372",71492,375,2004
17,11,"23721",71492,375,2004
17,11,"2373",4117,89,2004
17,11,"23731",4117,89,2004
17,11,"2379",22994,294,2004
17,11,"23799",22994,294,2004
17,11,"238",2746549,64841,2004
17,11,"2381",482505,10300,2004
17,11,"2382",429541,9846,2004
17,11,"23821",160414,3993,2004
17,11,"23822",200613,4014,2004
17,11,"23829",13532,298,2004
17,11,"2383",1076148,27985,2004
17,11,"2389",756419,16569,2004
17,11,"484",1472722,18906,2004
17,11,"4841",1672228,21229,2004
17,11,"48411",548274,7839,2004
17,11,"4842",97526,1393,2004
17,11,"4853",294644,11060,2004
17,13,"23",5020463,96951,2004
17,13,"236",1868887,25572,2004
17,13,"2361",1708839,22752,2004
17,13,"237",137824,1222,2004
17,13,"2373",4117,89,2004
17,13,"23731",4117,89,2004
17,13,"2379",22994,294,2004
17,13,"23799",22994,294,2004
17,13,"238",2746549,64841,2004
17,13,"2381",482505,10300,2004
17,13,"2382",429541,9846,2004
17,13,"23821",160414,3993,2004
17,13,"23822",200613,4014,2004
17,13,"2383",1076148,27985,2004
17,13,"2389",756419,16569,2004
17,13,"484",1472722,18906,2004
17,13,"4841",1672228,21229,2004
17,13,"48411",548274,7839,2004
17,13,"4842",97526,1393,2004
17,15,"23",5020463,96951,2004
17,15,"236",1868887,25572,2004
17,15,"2361",1708839,22752,2004
17,15,"237",137824,1222,2004
17,15,"2372",71492,375,2004
17,15,"23721",71492,375,2004
17,15,"2379",22994,294,2004
17,15,"23799",22994,294,2004
17,15,"238",2746549,64841,2004
17,15,"2381",482505,10300,2004
17,15,"2382",429541,9846,2004
17,15,"23821",160414,3993,2004
17,15,"23822",200613,4014,2004
17,15,"23829",13532,298,2004
17,15,"2383",1076148,27985,2004
17,15,"2389",756419,16569,2004
17,15,"484",1472722,18906,2004
17,15,"4841",1672228,21229,2004
17,15,"48411",548274,7839,2004
17,15,"4842",97526,1393,2004
17,15,"4853",294644,11060,2004
17,17,"23",5020463,96951,2004
17,17,"236",1868887,25572,2004
17,17,"2361",1708839,22752,2004
17,17,"237",137824,1222,2004
17,17,"2372",71492,375,2004
17,17,"23721",71492,375,2004
17,17,"2379",22994,294,2004
17,17,"23799",22994,294,2004
17,17,"238",2746549,64841,2004
17,17,"2381",482505,10300,2004
17,17,"2382",429541,9846,2004
17,17,"23821",160414,3993,2004
17,17,"23822",200613,4014,2004
17,17,"2383",1076148,27985,2004
17,17,"2389",756419,16569,2004
17,17,"484",1472722,18906,2004
17,17,"4841",1672228,21229,2004
17,17,"48411",548274,7839,2004
17,17,"4842",97526,1393,2004
17,17,"4853",294644,11060,2004
17,19,"23",5020463,96951,2004
17,19,"236",1868887,25572,2004
