ST,CTY,NAICS,RCPTOT,ESTAB,Total_RCPTOT,Total_ESTAB,Year
17,1,23,22917,501,5011777,98534,2008
17,1,236,8418,150,2153492,32338,2008
17,1,2361,6825,125,1992913,29421,2008
17,1,237,539,8,127943,1440,2008
17,1,2371,0,0,5381,103,2008
17,1,2372,526,5,70955,441,2008
17,1,23721,526,5,70955,441,2008
17,1,2373,0,0,10893,174,2008
17,1,23731,0,0,10893,174,2008
17,1,2379,0,0,25023,453,2008
17,1,23799,0,0,25023,453,2008
17,1,238,13960,343,2721723,64638,2008
17,1,2381,2151,57,410033,9180,2008
17,1,2382,2384,41,488447,10856,2008
17,1,23821,1175,29,207942,5156,2008
17,1,23822,847,8,243632,4899,2008
17,1,23829,0,0,23007,513,2008
17,1,2383,6094,140,1002502,27217,2008
17,1,2389,3331,105,814810,17245,2008
17,1,484,8556,100,2384304,27955,2008
17,1,4841,8358,94,2257333,26264,2008
17,1,48411,2328,31,658061,8879,2008
17,1,4842,198,6,118178,1580,2008
17,3,23,927,54,5011777,98534,2008
17,3,236,128,16,2153492,32338,2008
17,3,2361,122,13,1992913,29421,2008
17,3,238,799,38,2721723,64638,2008
17,3,2381,92,5,410033,9180,2008
17,3,2382,0,0,488447,10856,2008
17,3,23821,0,0,207942,5156,2008
17,3,23822,0,0,243632,4899,2008
17,3,23829,0,0,23007,513,2008
17,3,2383,232,17,1002502,27217,2008
17,3,2389,256,10,814810,17245,2008
17,3,484,1650,22,2384304,27955,2008
17,3,4841,1650,22,2257333,26264,2008
17,3,48411,0,0,658061,8879,2008
17,3,4853,0,0,406368,13552,2008
17,5,23,3449,135,5011777,98534,2008
17,5,236,701,24,2153492,32338,2008
17,5,2361,347,20,1992913,29421,2008
17,5,237,357,9,127943,1440,2008
17,5,2372,0,0,70955,441,2008
17,5,23721,0,0,70955,441,2008
17,5,2373,0,0,10893,174,2008
17,5,23731,0,0,10893,174,2008
17,5,2379,187,5,25023,453,2008
17,5,23799,187,5,25023,453,2008
17,5,238,2391,102,2721723,64638,2008
17,5,2381,325,11,410033,9180,2008
17,5,2382,0,0,488447,10856,2008
17,5,23821,0,0,207942,5156,2008
17,5,23822,497,11,243632,4899,2008
17,5,23829,0,0,23007,513,2008
17,5,2383,624,35,1002502,27217,2008
17,5,2389,791,36,814810,17245,2008
17,5,484,4987,46,2384304,27955,2008
17,5,4841,4928,44,2257333,26264,2008
17,5,48411,749,13,658061,8879,2008
17,5,4842,0,0,118178,1580,2008
17,7,23,23322,405,5011777,98534,2008
